tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,137 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,141 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,141 | server.py:89 | Initializing global parameters
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,141 | server.py:272 | Using initial parameters provided by strategy
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,146 | server.py:91 | Evaluating initial parameters
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:17,419 | server.py:94 | initial parameters (loss, other metrics): 2.3323559761047363, {'accuracy': 0.6687198281288147}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:17,419 | server.py:104 | FL starting
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:39:17,420 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:40:41,193 | server.py:236 | fit_round 1 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | WARNING flwr 2023-12-01 09:40:41,328 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:41:22,578 | server.py:125 | fit progress: (1, 62488.015625, {'accuracy': 0.6450810432434082}, 125.158473727)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:41:22,578 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:42:04,478 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | WARNING flwr 2023-12-01 09:42:04,481 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:42:04,482 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:42:51,808 | server.py:236 | fit_round 2 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:43:14,273 | server.py:125 | fit progress: (2, 189.00662231445312, {'accuracy': 0.6296111345291138}, 236.853319028)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:43:14,277 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:43:56,464 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:43:56,465 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:45:19,815 | server.py:236 | fit_round 3 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:46:01,216 | server.py:125 | fit progress: (3, 17.972946166992188, {'accuracy': 0.6063568592071533}, 403.7962949130001)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:46:01,216 | server.py:173 | evaluate_round 3: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:46:43,645 | server.py:187 | evaluate_round 3 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:46:43,646 | server.py:222 | fit_round 4: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:48:07,135 | server.py:236 | fit_round 4 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:48:48,538 | server.py:125 | fit progress: (4, 2.1864936351776123, {'accuracy': 0.5939815044403076}, 571.118816876)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:48:48,539 | server.py:173 | evaluate_round 4: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:49:12,412 | server.py:187 | evaluate_round 4 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:49:12,412 | server.py:222 | fit_round 5: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:50:35,916 | server.py:236 | fit_round 5 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:50:58,495 | server.py:125 | fit progress: (5, 2.0858359336853027, {'accuracy': 0.582490086555481}, 701.0759437669999)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:50:58,496 | server.py:173 | evaluate_round 5: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:51:40,769 | server.py:187 | evaluate_round 5 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:51:40,770 | server.py:222 | fit_round 6: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:53:04,179 | server.py:236 | fit_round 6 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:53:26,651 | server.py:125 | fit progress: (6, 12.807812690734863, {'accuracy': 0.5670498013496399}, 849.2318450350003)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:53:26,652 | server.py:173 | evaluate_round 6: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:54:09,224 | server.py:187 | evaluate_round 6 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:54:09,225 | server.py:222 | fit_round 7: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:55:32,703 | server.py:236 | fit_round 7 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:55:55,221 | server.py:125 | fit progress: (7, 2.0520615577697754, {'accuracy': 0.5572222471237183}, 997.8013425110003)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:55:55,225 | server.py:173 | evaluate_round 7: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:56:37,535 | server.py:187 | evaluate_round 7 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:56:37,536 | server.py:222 | fit_round 8: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:58:00,984 | server.py:236 | fit_round 8 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:58:42,358 | server.py:125 | fit progress: (8, 2.0466341972351074, {'accuracy': 0.5480286478996277}, 1164.9383792469998)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:58:42,358 | server.py:173 | evaluate_round 8: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:59:24,543 | server.py:187 | evaluate_round 8 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:59:24,543 | server.py:222 | fit_round 9: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:00:47,994 | server.py:236 | fit_round 9 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:01:10,461 | server.py:125 | fit progress: (9, 2.044992208480835, {'accuracy': 0.5375434160232544}, 1313.041487552)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:01:10,461 | server.py:173 | evaluate_round 9: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:01:52,779 | server.py:187 | evaluate_round 9 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:01:52,779 | server.py:222 | fit_round 10: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:02:40,699 | server.py:236 | fit_round 10 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:03:22,081 | server.py:125 | fit progress: (10, 2.044959783554077, {'accuracy': 0.5276936292648315}, 1444.6621088479997)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:03:22,082 | server.py:173 | evaluate_round 10: strategy sampled 5 clients (out of 5)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:04:03,906 | server.py:187 | evaluate_round 10 received 5 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,906 | server.py:153 | FL finished in 1486.4869019810003
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,916 | app.py:225 | app_fit: losses_distributed [(1, 62488.015625), (2, 189.00662231445312), (3, 17.972946166992188), (4, 2.1864936351776123), (5, 2.0858359336853027), (6, 12.807812690734863), (7, 2.0520615577697754), (8, 2.0466341972351074), (9, 2.044992208480835), (10, 2.044959783554077)]
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,916 | app.py:226 | app_fit: metrics_distributed_fit {}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,928 | app.py:227 | app_fit: metrics_distributed {}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,928 | app.py:228 | app_fit: losses_centralized [(0, 2.3323559761047363), (1, 62488.015625), (2, 189.00662231445312), (3, 17.972946166992188), (4, 2.1864936351776123), (5, 2.0858359336853027), (6, 12.807812690734863), (7, 2.0520615577697754), (8, 2.0466341972351074), (9, 2.044992208480835), (10, 2.044959783554077)]
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,940 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.6687198281288147), (1, 0.6450810432434082), (2, 0.6296111345291138), (3, 0.6063568592071533), (4, 0.5939815044403076), (5, 0.582490086555481), (6, 0.5670498013496399), (7, 0.5572222471237183), (8, 0.5480286478996277), (9, 0.5375434160232544), (10, 0.5276936292648315)]}
