tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:24:37,870 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:27:01,400 | server.py:236 | fit_round 8 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:27:42,745 | server.py:125 | fit progress: (8, 2.089570999145508, {'accuracy': 0.48614418506622314}, 1678.308652521001)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:27:42,745 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:28:25,100 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:28:25,101 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:30:48,060 | server.py:236 | fit_round 9 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:31:10,566 | server.py:125 | fit progress: (9, 2.0831241607666016, {'accuracy': 0.479780375957489}, 1886.1295264379996)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:31:10,566 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:31:53,024 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:31:53,025 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:34:16,016 | server.py:236 | fit_round 10 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:34:38,477 | server.py:125 | fit progress: (10, 2.1125619411468506, {'accuracy': 0.47370579838752747}, 2094.0411713950007)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:34:38,480 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:35:20,301 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:35:20,301 | server.py:153 | FL finished in 2135.8651187269998
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:35:20,302 | app.py:225 | app_fit: losses_distributed [(1, 65499.2734375), (2, 5504.22412109375), (3, 11.586165428161621), (4, 37.45285415649414), (5, 30.88770294189453), (6, 2.1649420261383057), (7, 2.148559331893921), (8, 2.089570999145508), (9, 2.0831241607666016), (10, 2.1125619411468506)]
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:35:20,304 | app.py:226 | app_fit: metrics_distributed_fit {}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:35:20,304 | app.py:227 | app_fit: metrics_distributed {}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:35:20,304 | app.py:228 | app_fit: losses_centralized [(0, 2.308896541595459), (1, 65499.2734375), (2, 5504.22412109375), (3, 11.586165428161621), (4, 37.45285415649414), (5, 30.88770294189453), (6, 2.1649420261383057), (7, 2.148559331893921), (8, 2.089570999145508), (9, 2.0831241607666016), (10, 2.1125619411468506)]
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:35:20,305 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.5601307153701782), (1, 0.5461111068725586), (2, 0.5346836447715759), (3, 0.5236111283302307), (4, 0.5133771896362305), (5, 0.5071937441825867), (6, 0.4998264014720917), (7, 0.4928184151649475), (8, 0.48614418506622314), (9, 0.479780375957489), (10, 0.47370579838752747)]}
