jax-FedAdam-run | INFO flwr 2023-11-26 14:32:49,375 | server.py:125 | fit progress: (8, 3350331392.0, {'accuracy': 0.42208993434906006}, 1047.450058114)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:32:49,376 | server.py:173 | evaluate_round 8: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:33:32,091 | server.py:187 | evaluate_round 8 received 5 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:33:32,091 | server.py:222 | fit_round 9: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:34:33,223 | server.py:236 | fit_round 9 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:35:14,614 | server.py:125 | fit progress: (9, 5067359744.0, {'accuracy': 0.41382429003715515}, 1192.6888472829996)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:35:14,615 | server.py:173 | evaluate_round 9: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:35:56,483 | server.py:187 | evaluate_round 9 received 5 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:35:56,484 | server.py:222 | fit_round 10: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:36:57,512 | server.py:236 | fit_round 10 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:37:19,707 | server.py:125 | fit progress: (10, 7167527936.0, {'accuracy': 0.40593433380126953}, 1317.7815541249993)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:37:19,712 | server.py:173 | evaluate_round 10: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:38:01,903 | server.py:187 | evaluate_round 10 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,903 | server.py:153 | FL finished in 1359.9773921009992
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,903 | app.py:225 | app_fit: losses_distributed [(1, 15.066919326782227), (2, 15.066919326782227), (3, 15.066919326782227), (4, 15.066919326782227), (5, 15.066919326782227), (6, 15.066919326782227), (7, 15.066919326782227), (8, 15.066919326782227), (9, 15.066919326782227), (10, 15.066919326782227)]
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,903 | app.py:226 | app_fit: metrics_distributed_fit {}
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,903 | app.py:227 | app_fit: metrics_distributed {}
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,903 | app.py:228 | app_fit: losses_centralized [(0, 2.3083078861236572), (1, 163697.984375), (2, 5963208.5), (3, 45572996.0), (4, 185005408.0), (5, 508538688.0), (6, 1099888640.0), (7, 2031113856.0), (8, 3350331392.0), (9, 5067359744.0), (10, 7167527936.0)]
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,904 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.5057189464569092), (1, 0.49317461252212524), (2, 0.4813271462917328), (3, 0.4701201319694519), (4, 0.4595029354095459), (5, 0.4494301974773407), (6, 0.43986111879348755), (7, 0.4307588040828705), (8, 0.42208993434906006), (9, 0.41382429003715515), (10, 0.40593433380126953)]}
