jax-FedAvgM-run | INFO flwr 2023-12-02 11:16:22,451 | server.py:125 | fit progress: (8, 0.7044336199760437, {'accuracy': 0.5818750262260437}, 1302.1759272110003)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:16:22,452 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:17:36,385 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:17:36,385 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:18:39,270 | server.py:236 | fit_round 9 received 8 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-02 11:19:20,678 | server.py:125 | fit progress: (9, 0.6264429688453674, {'accuracy': 0.5919312238693237}, 1480.4022474570002)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:19:20,678 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:20:44,385 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:20:44,386 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:21:47,379 | server.py:236 | fit_round 10 received 8 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-02 11:22:28,768 | server.py:125 | fit progress: (10, 0.5986064672470093, {'accuracy': 0.6023989915847778}, 1668.492284768)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:22:28,768 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 11:23:45,730 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
jax-FedAvgM-run | INFO flwr 2023-12-02 11:23:45,730 | server.py:153 | FL finished in 1745.454587017
jax-FedAvgM-run | INFO flwr 2023-12-02 11:23:45,735 | app.py:225 | app_fit: losses_distributed [(1, 2.186288356781006), (2, 2.023283004760742), (3, 1.770025372505188), (4, 1.4387911558151245), (5, 1.126903772354126), (6, 0.995252251625061), (7, 0.8393309116363525), (8, 0.7044336199760437), (9, 0.6264429092407227), (10, 0.5986064672470093)]
jax-FedAvgM-run | INFO flwr 2023-12-02 11:23:45,736 | app.py:226 | app_fit: metrics_distributed_fit {}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:23:45,736 | app.py:227 | app_fit: metrics_distributed {}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:23:45,736 | app.py:228 | app_fit: losses_centralized [(0, 2.341738224029541), (1, 2.186288356781006), (2, 2.023283004760742), (3, 1.770025372505188), (4, 1.4387911558151245), (5, 1.1269038915634155), (6, 0.995252251625061), (7, 0.8393310904502869), (8, 0.7044336199760437), (9, 0.6264429688453674), (10, 0.5986064672470093)]
jax-FedAvgM-run | INFO flwr 2023-12-02 11:23:45,736 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.5846064686775208), (1, 0.550000011920929), (2, 0.5418650507926941), (3, 0.5411111116409302), (4, 0.5450521111488342), (5, 0.5538398623466492), (6, 0.5623456835746765), (7, 0.5717836022377014), (8, 0.5818750262260437), (9, 0.5919312238693237), (10, 0.6023989915847778)]}
