jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:45:26,009 | server.py:236 | fit_round 8 received 8 results and 0 failures
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:45:48,784 | server.py:125 | fit progress: (8, 191935.234375, {'accuracy': 0.4424731135368347}, 1281.5803304390006)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:45:48,784 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:47:03,343 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:47:03,343 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:48:20,489 | server.py:236 | fit_round 9 received 8 results and 0 failures
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:48:43,068 | server.py:125 | fit progress: (9, 192591.78125, {'accuracy': 0.43020832538604736}, 1455.8644544980002)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:48:43,068 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:49:57,840 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:49:57,841 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:51:00,561 | server.py:236 | fit_round 10 received 8 results and 0 failures
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:51:23,269 | server.py:125 | fit progress: (10, 192716.296875, {'accuracy': 0.4186868667602539}, 1616.0655444770005)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:51:23,269 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:52:37,427 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:52:37,427 | server.py:153 | FL finished in 1690.2237803840003
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:52:37,427 | app.py:225 | app_fit: losses_distributed [(1, 14.91362190246582), (2, 15.242116928100586), (3, 15.285916328430176), (4, 15.285916328430176), (5, 15.285916328430176), (6, 15.285916328430176), (7, 15.285916328430176), (8, 15.285916328430176), (9, 15.285916328430176), (10, 15.285916328430176)]
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:52:37,428 | app.py:226 | app_fit: metrics_distributed_fit {}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:52:37,428 | app.py:227 | app_fit: metrics_distributed {}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:52:37,428 | app.py:228 | app_fit: losses_centralized [(0, 2.341738224029541), (1, 26552.6328125), (2, 73403.8828125), (3, 131911.1875), (4, 163175.21875), (5, 179164.265625), (6, 186862.703125), (7, 189957.796875), (8, 191935.234375), (9, 192591.78125), (10, 192716.296875)]
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:52:37,428 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.5777778029441833), (1, 0.5568286776542664), (2, 0.5366666913032532), (3, 0.5179487466812134), (4, 0.500617265701294), (5, 0.48452380299568176), (6, 0.46954023838043213), (7, 0.4555555582046509), (8, 0.4424731135368347), (9, 0.43020832538604736), (10, 0.4186868667602539)]}
