tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:02:42,913 | server.py:187 | evaluate_round 7 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:02:42,914 | server.py:222 | fit_round 8: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:04:06,640 | server.py:236 | fit_round 8 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:04:29,194 | server.py:125 | fit progress: (8, 2.1223886013031006, {'accuracy': 0.5022401213645935}, 1242.3428266710002)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:04:29,195 | server.py:173 | evaluate_round 8: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:05:33,580 | server.py:187 | evaluate_round 8 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:05:33,580 | server.py:222 | fit_round 9: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:06:51,402 | server.py:236 | fit_round 9 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:07:14,011 | server.py:125 | fit progress: (9, 2.1031243801116943, {'accuracy': 0.4950520694255829}, 1407.159939959)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:07:14,016 | server.py:173 | evaluate_round 9: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:08:18,450 | server.py:187 | evaluate_round 9 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:08:18,450 | server.py:222 | fit_round 10: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:09:23,945 | server.py:236 | fit_round 10 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:10:05,399 | server.py:125 | fit progress: (10, 2.0875375270843506, {'accuracy': 0.4882996678352356}, 1578.5471481979998)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:10:05,399 | server.py:173 | evaluate_round 10: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:11:10,149 | server.py:187 | evaluate_round 10 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,149 | server.py:153 | FL finished in 1643.2976669240002
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,158 | app.py:225 | app_fit: losses_distributed [(1, 42435.38671875), (2, 1695.9742431640625), (3, 114.64507293701172), (4, 17.664369583129883), (5, 2.202200412750244), (6, 2.1729209423065186), (7, 2.145705461502075), (8, 2.1223886013031006), (9, 2.1031243801116943), (10, 2.0875375270843506)]
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,158 | app.py:226 | app_fit: metrics_distributed_fit {}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,170 | app.py:227 | app_fit: metrics_distributed {}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,173 | app.py:228 | app_fit: losses_centralized [(0, 2.3006434440612793), (1, 42435.38671875), (2, 1695.9742431640625), (3, 114.64507293701172), (4, 17.664369583129883), (5, 2.202200412750244), (6, 2.1729209423065186), (7, 2.145705461502075), (8, 2.1223886013031006), (9, 2.1031243801116943), (10, 2.0875375270843506)]
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,183 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.614130437374115), (1, 0.5913194417953491), (2, 0.5762777924537659), (3, 0.5559828877449036), (4, 0.5363168716430664), (5, 0.526884913444519), (6, 0.5181034207344055), (7, 0.5099074244499207), (8, 0.5022401213645935), (9, 0.4950520694255829), (10, 0.4882996678352356)]}
