tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:46,348 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:46,374 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:46,375 | server.py:89 | Initializing global parameters
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:46,375 | server.py:272 | Using initial parameters provided by strategy
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:46,375 | server.py:91 | Evaluating initial parameters
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:24:27,642 | server.py:94 | initial parameters (loss, other metrics): 2.308896541595459, {'accuracy': 0.7245773077011108}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:24:27,643 | server.py:104 | FL starting
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:24:27,643 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:26:51,221 | server.py:236 | fit_round 1 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | WARNING flwr 2023-11-30 17:26:51,286 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:27:13,873 | server.py:125 | fit progress: (1, 91569.9921875, {'accuracy': 0.6975115537643433}, 166.2297511380002)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:27:13,878 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:27:56,337 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | WARNING flwr 2023-11-30 17:27:56,337 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:27:56,337 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:30:19,378 | server.py:236 | fit_round 2 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:30:41,798 | server.py:125 | fit progress: (2, 145.0077667236328, {'accuracy': 0.67166668176651}, 374.1551054769998)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:30:41,798 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:31:23,935 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:31:23,935 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:33:47,450 | server.py:236 | fit_round 3 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:34:10,084 | server.py:125 | fit progress: (3, 127.17510223388672, {'accuracy': 0.6540064215660095}, 582.4406952219997)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:34:10,089 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:34:51,965 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:34:51,966 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:36:31,916 | server.py:236 | fit_round 4 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:37:13,236 | server.py:125 | fit progress: (4, 2.2285590171813965, {'accuracy': 0.6398662328720093}, 765.5931230429997)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:37:13,237 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:37:55,614 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:37:55,614 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:40:19,124 | server.py:236 | fit_round 5 received 2 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:41:00,433 | server.py:125 | fit progress: (5, 2.1667673587799072, {'accuracy': 0.6267361044883728}, 992.7902496679999)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:41:00,434 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
