tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:32:02,869 | server.py:222 | fit_round 8: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:33:26,187 | server.py:236 | fit_round 8 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:33:48,710 | server.py:125 | fit progress: (8, 0.571809709072113, {'accuracy': 0.6776388883590698}, 1182.705074675)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:33:48,715 | server.py:173 | evaluate_round 8: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:34:30,939 | server.py:187 | evaluate_round 8 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:34:30,940 | server.py:222 | fit_round 9: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:35:19,093 | server.py:236 | fit_round 9 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:36:00,414 | server.py:125 | fit progress: (9, 0.5512591004371643, {'accuracy': 0.68578040599823}, 1314.4092795819997)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:36:00,415 | server.py:173 | evaluate_round 9: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:36:42,911 | server.py:187 | evaluate_round 9 received 5 results and 0 failures
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:36:42,911 | server.py:222 | fit_round 10: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:37:31,121 | server.py:236 | fit_round 10 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:37:53,396 | server.py:125 | fit progress: (10, 0.5598941445350647, {'accuracy': 0.6930555701255798}, 1427.3905934199997)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:37:53,396 | server.py:173 | evaluate_round 10: strategy sampled 5 clients (out of 5)
tensorflow-FedAvgM-run | DEBUG flwr 2023-12-01 09:38:35,872 | server.py:187 | evaluate_round 10 received 5 results and 0 failures
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:38:35,872 | server.py:153 | FL finished in 1469.8670457979997
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:38:35,872 | app.py:225 | app_fit: losses_distributed [(1, 2.153510808944702), (2, 1.525837779045105), (3, 1.1037081480026245), (4, 0.8438469171524048), (5, 0.7151447534561157), (6, 0.6069679856300354), (7, 0.5857130289077759), (8, 0.571809709072113), (9, 0.5512591004371643), (10, 0.5598941445350647)]
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:38:35,874 | app.py:226 | app_fit: metrics_distributed_fit {}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:38:35,874 | app.py:227 | app_fit: metrics_distributed {}
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:38:35,874 | app.py:228 | app_fit: losses_centralized [(0, 2.3323559761047363), (1, 2.153510808944702), (2, 1.525837779045105), (3, 1.1037081480026245), (4, 0.8438469171524048), (5, 0.7151447534561157), (6, 0.6069679856300354), (7, 0.5857130289077759), (8, 0.571809709072113), (9, 0.5512591004371643), (10, 0.5598941445350647)]
tensorflow-FedAvgM-run | INFO flwr 2023-12-01 09:38:35,875 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.6590277552604675), (1, 0.6401709318161011), (2, 0.6316468119621277), (3, 0.6358333230018616), (4, 0.6429687738418579), (5, 0.6511437892913818), (6, 0.6604938507080078), (7, 0.6692251563072205), (8, 0.6776388883590698), (9, 0.68578040599823), (10, 0.6930555701255798)]}
