jax-FedAdam-run | INFO flwr 2023-12-01 22:32:46,999 | server.py:125 | fit progress: (8, 2462281984.0, {'accuracy': 0.42109787464141846}, 1549.0579722210005)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:32:46,999 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:33:29,408 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:33:29,409 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:35:38,677 | server.py:236 | fit_round 9 received 2 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-12-01 22:36:01,013 | server.py:125 | fit progress: (9, 3676846336.0, {'accuracy': 0.4118863046169281}, 1743.0716555110002)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:36:01,013 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:36:43,136 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:36:43,137 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:38:52,059 | server.py:236 | fit_round 10 received 2 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-12-01 22:39:33,401 | server.py:125 | fit progress: (10, 5149229568.0, {'accuracy': 0.4030934274196625}, 1955.460226649001)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:39:33,402 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:40:15,773 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,773 | server.py:153 | FL finished in 1997.8324952520006
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,774 | app.py:225 | app_fit: losses_distributed [(1, 15.023119926452637), (2, 15.702009201049805), (3, 15.745808601379395), (4, 15.745808601379395), (5, 15.723908424377441), (6, 15.723908424377441), (7, 15.723908424377441), (8, 15.723908424377441), (9, 15.723908424377441), (10, 15.723908424377441)]
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,774 | app.py:226 | app_fit: metrics_distributed_fit {}
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,774 | app.py:227 | app_fit: metrics_distributed {}
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,774 | app.py:228 | app_fit: losses_centralized [(0, 2.3872830867767334), (1, 93188.921875), (2, 3586561.0), (3, 35184344.0), (4, 144289920.0), (5, 391708448.0), (6, 834639808.0), (7, 1516681984.0), (8, 2462281984.0), (9, 3676846336.0), (10, 5149229568.0)]
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,774 | app.py:229 | app_fit: metrics_centralized {'accuracy': [(0, 0.5130310654640198), (1, 0.5003571510314941), (2, 0.4871913492679596), (3, 0.4746621549129486), (4, 0.46279239654541016), (5, 0.4515669643878937), (6, 0.4409027695655823), (7, 0.4307588040828705), (8, 0.42109787464141846), (9, 0.4118863046169281), (10, 0.4030934274196625)]}
